"hybrid" "dent" "flint" "GY" "GM" "hy"
"1" "D518:F298" "D518" "F298" -8.04 -0.85 "518:298"
"2" "D518:F305" "D518" "F305" -11.1 1.7 "518:305"
"3" "D518:F306" "D518" "F306" -16.85 2.24 "518:306"
"4" "D518:F316" "D518" "F316" 2.08 -1.33 "518:316"
"5" "D518:F323" "D518" "F323" 5.65 -2.71 "518:323"
"6" "D518:F327" "D518" "F327" -16.95 -0.52 "518:327"
"7" "D518:F437" "D518" "F437" -4.54 -3.51 "518:437"
"8" "D518:F439" "D518" "F439" -3.81 -0.02 "518:439"
"9" "D518:F444" "D518" "F444" -1.75 -2.68 "518:444"
"10" "D545:F298" "D545" "F298" -4.34 -1.63 "545:298"
"11" "D545:F305" "D545" "F305" -2.39 0.08 "545:305"
"12" "D545:F306" "D545" "F306" -14.55 0.28 "545:306"
"13" "D545:F316" "D545" "F316" 18.54 -3.34 "545:316"
"14" "D545:F323" "D545" "F323" 10.19 -3.69 "545:323"
"15" "D545:F327" "D545" "F327" -12.9 -1.18 "545:327"
"16" "D545:F437" "D545" "F437" 3.54 -3.88 "545:437"
"17" "D545:F439" "D545" "F439" -1.25 -2.54 "545:439"
"18" "D545:F444" "D545" "F444" 8.36 -3.9 "545:444"
"19" "D729:F298" "D729" "F298" -21.08 0.57 "729:298"
"20" "D729:F305" "D729" "F305" -19.28 4.77 "729:305"
"21" "D729:F306" "D729" "F306" -15.21 3.46 "729:306"
"22" "D729:F316" "D729" "F316" -4.25 0.11 "729:316"
"23" "D729:F323" "D729" "F323" -10.23 -2.32 "729:323"
"24" "D729:F327" "D729" "F327" -15.86 1.19 "729:327"
"25" "D729:F437" "D729" "F437" -6.19 -0.66 "729:437"
"26" "D729:F439" "D729" "F439" -11.31 0.7 "729:439"
"27" "D729:F444" "D729" "F444" -4.12 -1.61 "729:444"
"28" "D755:F298" "D755" "F298" -12.72 1.15 "755:298"
"29" "D755:F305" "D755" "F305" -14.41 3.34 "755:305"
"30" "D755:F306" "D755" "F306" -12.87 3.52 "755:306"
"31" "D755:F316" "D755" "F316" 0.15 -0.7 "755:316"
"32" "D755:F323" "D755" "F323" -2.71 -2.3 "755:323"
"33" "D755:F327" "D755" "F327" -11.11 1.83 "755:327"
"34" "D755:F437" "D755" "F437" -8.21 -1.54 "755:437"
"35" "D755:F439" "D755" "F439" -9.91 0.68 "755:439"
"36" "D755:F444" "D755" "F444" -3 -1.34 "755:444"
"37" "D513:F305" "D513" "F305" -14.44 1.61 "513:305"
"38" "D513:F316" "D513" "F316" 10.02 -2.05 "513:316"
"39" "D513:F323" "D513" "F323" 6.97 -3.78 "513:323"
"40" "D513:F444" "D513" "F444" 10.01 -4.38 "513:444"
"41" "D536:F305" "D536" "F305" -3.43 -0.05 "536:305"
"42" "D536:F316" "D536" "F316" 7.96 -2.76 "536:316"
"43" "D536:F323" "D536" "F323" 3.93 -5.67 "536:323"
"44" "D536:F444" "D536" "F444" 16.69 -3.93 "536:444"
"45" "D539:F305" "D539" "F305" -3.97 0.5 "539:305"
"46" "D539:F316" "D539" "F316" 8.39 -2.44 "539:316"
"47" "D539:F323" "D539" "F323" 7.08 -4.83 "539:323"
"48" "D539:F444" "D539" "F444" 13.45 -4.1 "539:444"
"49" "D546:F305" "D546" "F305" -14.49 1.59 "546:305"
