"Chrom"	"Pos"	"Name"	"Class"	"Markers"
"1"	1	238347	"b000000"	"b"	"PZE.101000088;"
"2"	1	690825	"b000001"	"b"	"PZE.101000169;PZE.101000256;PZE.101000349;PZE.101000370;PZE.101000424;PZE.101000431;PZE.101000442;PUT.163a.71312844.3126;"
"3"	1	1003413	"b000002"	"b"	"SYN8296;"
"4"	1	1567151	"b000003"	"b"	"PZE.101000659;"
"5"	1	1568998	"b000004"	"b"	"PZE.101000673;"
"6"	1	1666173	"b000005"	"b"	"PZE.101000740;"
"7"	1	1686635	"b000006"	"b"	"PZE.101000754;"
"8"	1	1789106	"b000007"	"b"	"SYN9659;"
"9"	1	1968281	"b000008"	"b"	"PZE.101001044;"
"10"	1	2039318	"b000009"	"b"	"PZE.101001094;PZE.101001103;"
"11"	1	2043319	"b000010"	"b"	"PZE.101001107;"
"12"	1	2043987	"b000011"	"b"	"PZE.101001108;"
"13"	1	2044238	"b000012"	"b"	"PZE.101001110;"
"14"	1	2066149	"b000013"	"b"	"SYN10560;PZE.101001114;PZE.101001115;PZE.101001116;SYN13279;"
"15"	1	2091746	"b000014"	"b"	"SYN13282;"
"16"	1	2306521	"b000015"	"b"	"PZE.101001280;"
"17"	1	2428671	"b000016"	"b"	"PZE.101001380;"
"18"	1	2687631	"b000017"	"b"	"PZE.101001587;"
"19"	1	2693676	"b000018"	"b"	"SYN38927;"
"20"	1	2736027	"b000019"	"b"	"SYN35330;"
"21"	1	2741287	"b000020"	"b"	"SYN35346;SYN35339;SYN35335;SYN35336;"
"22"	1	2742699	"b000021"	"b"	"SYN35329;"
"23"	1	2755347	"b000022"	"b"	"SYN35344;"
"24"	1	2784121.5	"b000023"	"b"	"SYN38932;SYN38934;"
"25"	1	2796496	"b000024"	"b"	"SYN38926;"
"26"	1	2801226	"b000025"	"b"	"PUT.163a.16926058.1127;"
"27"	1	2870877	"b000026"	"b"	"SYN35337;"
"28"	1	2876641	"b000027"	"b"	"PUT.163a.60359045.2871;"
"29"	1	2895697	"b000028"	"b"	"PZE.101002081;"
"30"	1	3014858	"b000029"	"b"	"SYN2545;"
"31"	1	3038064	"b000030"	"b"	"SYN11121;PZE.101002367;"
